id,form,maskKey,site,scribe,support,tokenIndex
HT2,KI-RE-TA-NA,HT2	KI-RE-TA-NA,HAGHIA TRIADA,,TABLET,11
HT3,DI-NA,HT3	DI-NA,HAGHIA TRIADA,,TABLET,4
HT3,MA-DI,HT3	MA-DI,HAGHIA TRIADA,,TABLET,29
HT4,*306-TI-KA-A-RE,HT4	*306-TI-KA-A-RE,HAGHIA TRIADA,,TABLET,2
HT4,DU-RI-TE,HT4	DU-RI-TE,HAGHIA TRIADA,,TABLET,4
HT4,PA-RE,HT4	PA-RE,HAGHIA TRIADA,,TABLET,7
HT4,TA-PI-SI-DI,HT4	TA-PI-SI-DI,HAGHIA TRIADA,,TABLET,9
HT5,MA-SI,HT5	MA-SI,HAGHIA TRIADA,HT SCRIBE 1,TABLET,4
HT5,WI-DU,HT5	WI-DU,HAGHIA TRIADA,HT SCRIBE 1,TABLET,7
HT9B,WA-JA-PI,HT9	WA-JA-PI,HAGHIA TRIADA,,TABLET,3
HT11A,A-RU-RA,HT11	A-RU-RA,HAGHIA TRIADA,HT SCRIBE 24,TABLET,0
HT11B,DE-NU,HT11	DE-NU,HAGHIA TRIADA,HT SCRIBE 24,TABLET,0
HT25A,DI-NA-U,HT25	DI-NA-U,HAGHIA TRIADA,,TABLET,4
HT25A,RU-NI,HT25	RU-NI,HAGHIA TRIADA,,TABLET,6
HT25A,TU-QE-NU,HT25	TU-QE-NU,HAGHIA TRIADA,,TABLET,18
HT25A,DU-RU-WI,HT25	DU-RU-WI,HAGHIA TRIADA,,TABLET,23
HT25A,I-KI-RA,HT25	I-KI-RA,HAGHIA TRIADA,,TABLET,25
HT26B,RO-NI,HT26	RO-NI,HAGHIA TRIADA,HT SCRIBE 3,TABLET,6
HT27A,I-MI-SA-RA,HT27	I-MI-SA-RA,HAGHIA TRIADA,HT SCRIBE 11,TABLET,16
HT27A,KI-DA,HT27	KI-DA,HAGHIA TRIADA,HT SCRIBE 11,TABLET,22
HT27A,KI-*310,HT27	KI-*310,HAGHIA TRIADA,HT SCRIBE 11,TABLET,24
HT27A,SA-RA-DI,HT27	SA-RA-DI,HAGHIA TRIADA,HT SCRIBE 11,TABLET,28
HT29,DI-JA-I,HT29	DI-JA-I,HAGHIA TRIADA,,TABLET,9
HT29,KI-TA,HT29	KI-TA,HAGHIA TRIADA,,TABLET,16
HT31,TI-SA,HT31	TI-SA,HAGHIA TRIADA,HT SCRIBE 12,TABLET,1
HT37,RE-SU,HT37	RE-SU,HAGHIA TRIADA,,TABLET,8
HT39,KU-RE-JU,HT39	KU-RE-JU,HAGHIA TRIADA,HT SCRIBE 12,TABLET,3
